     number     value             datetime_start          datetime_complete               duration  params_batch_size params_dec_activation params_enc_activation  params_ilr  params_latent_space  params_n_layers     state
206     206  0.000009 2024-05-20 09:47:59.771600 2024-05-20 09:55:58.646029 0 days 00:07:58.874429                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
159     159  0.000009 2024-05-20 08:15:40.214191 2024-05-20 08:23:40.844848 0 days 00:08:00.630657                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
207     207  0.000009 2024-05-20 09:48:47.938501 2024-05-20 09:56:52.277877 0 days 00:08:04.339376                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
151     151  0.000009 2024-05-20 07:59:32.436759 2024-05-20 08:07:43.287952 0 days 00:08:10.851193                 64                  tanh                  tanh    0.000050                   36                2  COMPLETE
76       76  0.000009 2024-05-18 08:27:43.179219 2024-05-18 08:33:18.609499 0 days 00:05:35.430280                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
208     208  0.000009 2024-05-20 09:50:40.023550 2024-05-20 09:58:31.940643 0 days 00:07:51.917093                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
143     143  0.000009 2024-05-20 07:43:20.928804 2024-05-20 07:51:29.000203 0 days 00:08:08.071399                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
152     152  0.000009 2024-05-20 07:59:34.682468 2024-05-20 08:07:36.877152 0 days 00:08:02.194684                 64                  tanh                  tanh    0.000050                   36                2  COMPLETE
180     180  0.000009 2024-05-20 08:55:03.053250 2024-05-20 09:03:02.055849 0 days 00:07:59.002599                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
107     107  0.000009 2024-05-18 09:05:47.814393 2024-05-18 09:11:23.748604 0 days 00:05:35.934211                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
106     106  0.000009 2024-05-18 09:05:35.262915 2024-05-18 09:11:09.345127 0 days 00:05:34.082212                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
154     154  0.000009 2024-05-20 08:06:58.703109 2024-05-20 08:14:59.791592 0 days 00:08:01.088483                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
119     119  0.000009 2024-05-18 09:21:18.153052 2024-05-18 09:26:51.491581 0 days 00:05:33.338529                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
201     201  0.000009 2024-05-20 09:37:42.807838 2024-05-20 09:45:42.880326 0 days 00:08:00.072488                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
104     104  0.000009 2024-05-18 09:02:24.348575 2024-05-18 09:07:58.483330 0 days 00:05:34.134755                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
